Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ConsoleUI\NetCoreConsoleApp.csproj,File,ConsoleUI\NetCoreConsoleApp.csproj,,,Microsoft.Extensions.Hosting 6.0.1,,,,,"Microsoft.Extensions.Hosting, 6.0.1  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ConsoleUI\NetCoreConsoleApp.csproj,File,ConsoleUI\NetCoreConsoleApp.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
